# MNE-Annotations
# orig_time : 2021-02-09 16:15:42.989266   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,1.0
360.0,30.0,1.0
390.0,30.0,1.0
420.0,30.0,1.0
450.0,30.0,1.0
480.0,30.0,1.0
510.0,30.0,1.0
540.0,30.0,2.0
570.0,30.0,2.0
593.24131383,1.2485939257,KC
600.0,30.0,2.0
630.0,30.0,2.0
641.89429471,1.1979752530,KC
645.40385601,1.0798650168,KC
660.0,30.0,2.0
690.0,30.0,2.0
720.0,30.0,2.0
750.0,30.0,2.0
780.0,30.0,2.0
810.0,30.0,2.0
840.0,30.0,2.0
870.0,30.0,2.0
900.0,30.0,2.0
930.0,30.0,2.0
937.66763554,1.8728908886,KC
948.54221372,1.9066366704,KC
960.0,30.0,2.0
990.0,30.0,2.0
1020.0,30.0,2.0
1026.0562744,1.4848143982,KC
1033.1175793,0.8098987626,KC
1050.0,30.0,2.0
1080.0,30.0,2.0
1110.0,30.0,2.0
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,2.0
1290.0,30.0,2.0
1318.3494758,1.7547806524,KC
1320.0,30.0,2.0
1350.0,30.0,2.0
1356.6762474,1.3667041619,KC
1380.0,30.0,2.0
1386.9674105,0.7424071991,KC
1410.0,30.0,2.0
1440.0,30.0,2.0
1460.7525624,1.3835770528,KC
1470.0,30.0,2.0
1476.2418762,1.1473565804,KC
1500.0,30.0,3.0
1530.0,30.0,3.0
1560.0,30.0,3.0
1590.0,30.0,2.0
1599.6427176,1.6366704161,KC
1620.0,30.0,3.0
1650.0,30.0,2.0
1666.3075095,1.5691788526,KC
1680.0,30.0,3.0
1710.0,30.0,3.0
1740.0,30.0,3.0
1770.0,30.0,3.0
